CD1, CD2, CD12, DESCRIPTION1, DESCRIPTION2, DESCRIPTION3
F1018,8,F10188,"Alcohol abuse with other alcohol-induced disorder","Alcohol abuse with other alcohol-induced disorder","Alcohol abuse with other alcohol-induced disorders"
F1019,,F1019,"Alcohol abuse with unspecified alcohol-induced disorder","Alcohol abuse with unspecified alcohol-induced disorder","Alcohol abuse with unspecified alcohol-induced disorder"
F102,0,F1020,"Alcohol dependence, uncomplicated","Alcohol dependence, uncomplicated","Alcohol dependence"
F102,1,F1021,"Alcohol dependence, in remission","Alcohol dependence, in remission","Alcohol dependence"
F1022,0,F10220,"Alcohol dependence with intoxication, uncomplicated","Alcohol dependence with intoxication, uncomplicated","Alcohol dependence with intoxication"
F1022,1,F10221,"Alcohol dependence with intoxication delirium","Alcohol dependence with intoxication delirium","Alcohol dependence with intoxication"
F1022,9,F10229,"Alcohol dependence with intoxication, unspecified","Alcohol dependence with intoxication, unspecified","Alcohol dependence with intoxication"
F1023,0,F10230,"Alcohol dependence with withdrawal, uncomplicated","Alcohol dependence with withdrawal, uncomplicated","Alcohol dependence with withdrawal"
F1023,1,F10231,"Alcohol dependence with withdrawal delirium","Alcohol dependence with withdrawal delirium","Alcohol dependence with withdrawal"
F1023,2,F10232,"Alcohol dependence w withdrawal with perceptual disturbance","Alcohol dependence with withdrawal with perceptual disturbance","Alcohol dependence with withdrawal"
F1023,9,F10239,"Alcohol dependence with withdrawal, unspecified","Alcohol dependence with withdrawal, unspecified","Alcohol dependence with withdrawal"
F1024,,F1024,"Alcohol dependence with alcohol-induced mood disorder","Alcohol dependence with alcohol-induced mood disorder","Alcohol dependence with alcohol-induced mood disorder"
F1025,0,F10250,"Alcohol depend w alcoh-induce psychotic disorder w delusions","Alcohol dependence with alcohol-induced psychotic disorder with delusions","Alcohol dependence with alcohol-induced psychotic disorder"
F1025,1,F10251,"Alcohol depend w alcoh-induce psychotic disorder w hallucin","Alcohol dependence with alcohol-induced psychotic disorder with hallucinations","Alcohol dependence with alcohol-induced psychotic disorder"
F1025,9,F10259,"Alcohol dependence w alcoh-induce psychotic disorder, unsp","Alcohol dependence with alcohol-induced psychotic disorder, unspecified","Alcohol dependence with alcohol-induced psychotic disorder"
F1026,,F1026,"Alcohol depend w alcoh-induce persisting amnestic disorder","Alcohol dependence with alcohol-induced persisting amnestic disorder","Alcohol dependence with alcohol-induced persisting amnestic disorder"
F1027,,F1027,"Alcohol dependence with alcohol-induced persisting dementia","Alcohol dependence with alcohol-induced persisting dementia","Alcohol dependence with alcohol-induced persisting dementia"
F1028,0,F10280,"Alcohol dependence with alcohol-induced anxiety disorder","Alcohol dependence with alcohol-induced anxiety disorder","Alcohol dependence with other alcohol-induced disorders"
F1028,1,F10281,"Alcohol dependence with alcohol-induced sexual dysfunction","Alcohol dependence with alcohol-induced sexual dysfunction","Alcohol dependence with other alcohol-induced disorders"
F1028,2,F10282,"Alcohol dependence with alcohol-induced sleep disorder","Alcohol dependence with alcohol-induced sleep disorder","Alcohol dependence with other alcohol-induced disorders"
F1028,8,F10288,"Alcohol dependence with other alcohol-induced disorder","Alcohol dependence with other alcohol-induced disorder","Alcohol dependence with other alcohol-induced disorders"
F1029,,F1029,"Alcohol dependence with unspecified alcohol-induced disorder","Alcohol dependence with unspecified alcohol-induced disorder","Alcohol dependence with unspecified alcohol-induced disorder"
F1092,0,F10920,"Alcohol use, unspecified with intoxication, uncomplicated","Alcohol use, unspecified with intoxication, uncomplicated","Alcohol use, unspecified with intoxication"
F1092,1,F10921,"Alcohol use, unspecified with intoxication delirium","Alcohol use, unspecified with intoxication delirium","Alcohol use, unspecified with intoxication"
F1092,9,F10929,"Alcohol use, unspecified with intoxication, unspecified","Alcohol use, unspecified with intoxication, unspecified","Alcohol use, unspecified with intoxication"
F1094,,F1094,"Alcohol use, unspecified with alcohol-induced mood disorder","Alcohol use, unspecified with alcohol-induced mood disorder","Alcohol use, unspecified with alcohol-induced mood disorder"
F1095,0,F10950,"Alcohol use, unsp w alcoh-induce psych disorder w delusions","Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions","Alcohol use, unspecified with alcohol-induced psychotic disorder"
F1095,1,F10951,"Alcohol use, unsp w alcoh-induce psych disorder w hallucin","Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations","Alcohol use, unspecified with alcohol-induced psychotic disorder"
F1095,9,F10959,"Alcohol use, unsp w alcohol-induced psychotic disorder, unsp","Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified","Alcohol use, unspecified with alcohol-induced psychotic disorder"
F1096,,F1096,"Alcohol use, unsp w alcoh-induce persist amnestic disorder","Alcohol use, unspecified with alcohol-induced persisting amnestic disorder","Alcohol use, unspecified with alcohol-induced persisting amnestic disorder"
F1097,,F1097,"Alcohol use, unsp with alcohol-induced persisting dementia","Alcohol use, unspecified with alcohol-induced persisting dementia","Alcohol use, unspecified with alcohol-induced persisting dementia"
F1098,0,F10980,"Alcohol use, unsp with alcohol-induced anxiety disorder","Alcohol use, unspecified with alcohol-induced anxiety disorder","Alcohol use, unspecified with other alcohol-induced disorders"
F1098,1,F10981,"Alcohol use, unsp with alcohol-induced sexual dysfunction","Alcohol use, unspecified with alcohol-induced sexual dysfunction","Alcohol use, unspecified with other alcohol-induced disorders"
F1098,2,F10982,"Alcohol use, unspecified with alcohol-induced sleep disorder","Alcohol use, unspecified with alcohol-induced sleep disorder","Alcohol use, unspecified with other alcohol-induced disorders"
F1098,8,F10988,"Alcohol use, unspecified with other alcohol-induced disorder","Alcohol use, unspecified with other alcohol-induced disorder","Alcohol use, unspecified with other alcohol-induced disorders"
F1099,,F1099,"Alcohol use, unsp with unspecified alcohol-induced disorder","Alcohol use, unspecified with unspecified alcohol-induced disorder","Alcohol use, unspecified with unspecified alcohol-induced disorder"
F111,0,F1110,"Opioid abuse, uncomplicated","Opioid abuse, uncomplicated","Opioid abuse"
F111,1,F1111,"Opioid abuse, in remission","Opioid abuse, in remission","Opioid abuse"
F1112,0,F11120,"Opioid abuse with intoxication, uncomplicated","Opioid abuse with intoxication, uncomplicated","Opioid abuse with intoxication"
F1112,1,F11121,"Opioid abuse with intoxication delirium","Opioid abuse with intoxication delirium","Opioid abuse with intoxication"
F1112,2,F11122,"Opioid abuse with intoxication with perceptual disturbance","Opioid abuse with intoxication with perceptual disturbance","Opioid abuse with intoxication"
F1112,9,F11129,"Opioid abuse with intoxication, unspecified","Opioid abuse with intoxication, unspecified","Opioid abuse with intoxication"
F1114,,F1114,"Opioid abuse with opioid-induced mood disorder","Opioid abuse with opioid-induced mood disorder","Opioid abuse with opioid-induced mood disorder"
F1115,0,F11150,"Opioid abuse w opioid-induced psychotic disorder w delusions","Opioid abuse with opioid-induced psychotic disorder with delusions","Opioid abuse with opioid-induced psychotic disorder"
F1115,1,F11151,"Opioid abuse w opioid-induced psychotic disorder w hallucin","Opioid abuse with opioid-induced psychotic disorder with hallucinations","Opioid abuse with opioid-induced psychotic disorder"
F1115,9,F11159,"Opioid abuse with opioid-induced psychotic disorder, unsp","Opioid abuse with opioid-induced psychotic disorder, unspecified","Opioid abuse with opioid-induced psychotic disorder"
F1118,1,F11181,"Opioid abuse with opioid-induced sexual dysfunction","Opioid abuse with opioid-induced sexual dysfunction","Opioid abuse with other opioid-induced disorder"
F1118,2,F11182,"Opioid abuse with opioid-induced sleep disorder","Opioid abuse with opioid-induced sleep disorder","Opioid abuse with other opioid-induced disorder"
F1118,8,F11188,"Opioid abuse with other opioid-induced disorder","Opioid abuse with other opioid-induced disorder","Opioid abuse with other opioid-induced disorder"
F1119,,F1119,"Opioid abuse with unspecified opioid-induced disorder","Opioid abuse with unspecified opioid-induced disorder","Opioid abuse with unspecified opioid-induced disorder"
F112,0,F1120,"Opioid dependence, uncomplicated","Opioid dependence, uncomplicated","Opioid dependence"
F112,1,F1121,"Opioid dependence, in remission","Opioid dependence, in remission","Opioid dependence"
F1122,0,F11220,"Opioid dependence with intoxication, uncomplicated","Opioid dependence with intoxication, uncomplicated","Opioid dependence with intoxication"
F1122,1,F11221,"Opioid dependence with intoxication delirium","Opioid dependence with intoxication delirium","Opioid dependence with intoxication"
F1122,2,F11222,"Opioid dependence w intoxication with perceptual disturbance","Opioid dependence with intoxication with perceptual disturbance","Opioid dependence with intoxication"
F1122,9,F11229,"Opioid dependence with intoxication, unspecified","Opioid dependence with intoxication, unspecified","Opioid dependence with intoxication"
F1123,,F1123,"Opioid dependence with withdrawal","Opioid dependence with withdrawal","Opioid dependence with withdrawal"
F1124,,F1124,"Opioid dependence with opioid-induced mood disorder","Opioid dependence with opioid-induced mood disorder","Opioid dependence with opioid-induced mood disorder"
F1125,0,F11250,"Opioid depend w opioid-induc psychotic disorder w delusions","Opioid dependence with opioid-induced psychotic disorder with delusions","Opioid dependence with opioid-induced psychotic disorder"
F1125,1,F11251,"Opioid depend w opioid-induc psychotic disorder w hallucin","Opioid dependence with opioid-induced psychotic disorder with hallucinations","Opioid dependence with opioid-induced psychotic disorder"
F1125,9,F11259,"Opioid dependence w opioid-induced psychotic disorder, unsp","Opioid dependence with opioid-induced psychotic disorder, unspecified","Opioid dependence with opioid-induced psychotic disorder"
F1128,1,F11281,"Opioid dependence with opioid-induced sexual dysfunction","Opioid dependence with opioid-induced sexual dysfunction","Opioid dependence with other opioid-induced disorder"
F1128,2,F11282,"Opioid dependence with opioid-induced sleep disorder","Opioid dependence with opioid-induced sleep disorder","Opioid dependence with other opioid-induced disorder"
F1128,8,F11288,"Opioid dependence with other opioid-induced disorder","Opioid dependence with other opioid-induced disorder","Opioid dependence with other opioid-induced disorder"
F1129,,F1129,"Opioid dependence with unspecified opioid-induced disorder","Opioid dependence with unspecified opioid-induced disorder","Opioid dependence with unspecified opioid-induced disorder"
F119,0,F1190,"Opioid use, unspecified, uncomplicated","Opioid use, unspecified, uncomplicated","Opioid use, unspecified"
F1192,0,F11920,"Opioid use, unspecified with intoxication, uncomplicated","Opioid use, unspecified with intoxication, uncomplicated","Opioid use, unspecified with intoxication"
F1192,1,F11921,"Opioid use, unspecified with intoxication delirium","Opioid use, unspecified with intoxication delirium","Opioid use, unspecified with intoxication"
F1192,2,F11922,"Opioid use, unsp w intoxication with perceptual disturbance","Opioid use, unspecified with intoxication with perceptual disturbance","Opioid use, unspecified with intoxication"
F1192,9,F11929,"Opioid use, unspecified with intoxication, unspecified","Opioid use, unspecified with intoxication, unspecified","Opioid use, unspecified with intoxication"
F1193,,F1193,"Opioid use, unspecified with withdrawal","Opioid use, unspecified with withdrawal","Opioid use, unspecified with withdrawal"
F1194,,F1194,"Opioid use, unspecified with opioid-induced mood disorder","Opioid use, unspecified with opioid-induced mood disorder","Opioid use, unspecified with opioid-induced mood disorder"
F1195,0,F11950,"Opioid use, unsp w opioid-induc psych disorder w delusions","Opioid use, unspecified with opioid-induced psychotic disorder with delusions","Opioid use, unspecified with opioid-induced psychotic disorder"
F1195,1,F11951,"Opioid use, unsp w opioid-induc psych disorder w hallucin","Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations","Opioid use, unspecified with opioid-induced psychotic disorder"
F1195,9,F11959,"Opioid use, unsp w opioid-induced psychotic disorder, unsp","Opioid use, unspecified with opioid-induced psychotic disorder, unspecified","Opioid use, unspecified with opioid-induced psychotic disorder"
F1198,1,F11981,"Opioid use, unsp with opioid-induced sexual dysfunction","Opioid use, unspecified with opioid-induced sexual dysfunction","Opioid use, unspecified with other specified opioid-induced disorder"
F1198,2,F11982,"Opioid use, unspecified with opioid-induced sleep disorder","Opioid use, unspecified with opioid-induced sleep disorder","Opioid use, unspecified with other specified opioid-induced disorder"
F1198,8,F11988,"Opioid use, unspecified with other opioid-induced disorder","Opioid use, unspecified with other opioid-induced disorder","Opioid use, unspecified with other specified opioid-induced disorder"
F1199,,F1199,"Opioid use, unsp with unspecified opioid-induced disorder","Opioid use, unspecified with unspecified opioid-induced disorder","Opioid use, unspecified with unspecified opioid-induced disorder"
F121,0,F1210,"Cannabis abuse, uncomplicated","Cannabis abuse, uncomplicated","Cannabis abuse"
F121,1,F1211,"Cannabis abuse, in remission","Cannabis abuse, in remission","Cannabis abuse"
F1212,0,F12120,"Cannabis abuse with intoxication, uncomplicated","Cannabis abuse with intoxication, uncomplicated","Cannabis abuse with intoxication"
F1212,1,F12121,"Cannabis abuse with intoxication delirium","Cannabis abuse with intoxication delirium","Cannabis abuse with intoxication"
F1212,2,F12122,"Cannabis abuse with intoxication with perceptual disturbance","Cannabis abuse with intoxication with perceptual disturbance","Cannabis abuse with intoxication"
F1212,9,F12129,"Cannabis abuse with intoxication, unspecified","Cannabis abuse with intoxication, unspecified","Cannabis abuse with intoxication"
F1215,0,F12150,"Cannabis abuse with psychotic disorder with delusions","Cannabis abuse with psychotic disorder with delusions","Cannabis abuse with psychotic disorder"
F1215,1,F12151,"Cannabis abuse with psychotic disorder with hallucinations","Cannabis abuse with psychotic disorder with hallucinations","Cannabis abuse with psychotic disorder"
F1215,9,F12159,"Cannabis abuse with psychotic disorder, unspecified","Cannabis abuse with psychotic disorder, unspecified","Cannabis abuse with psychotic disorder"
F1218,0,F12180,"Cannabis abuse with cannabis-induced anxiety disorder","Cannabis abuse with cannabis-induced anxiety disorder","Cannabis abuse with other cannabis-induced disorder"
F1218,8,F12188,"Cannabis abuse with other cannabis-induced disorder","Cannabis abuse with other cannabis-induced disorder","Cannabis abuse with other cannabis-induced disorder"
F1219,,F1219,"Cannabis abuse with unspecified cannabis-induced disorder","Cannabis abuse with unspecified cannabis-induced disorder","Cannabis abuse with unspecified cannabis-induced disorder"
F122,0,F1220,"Cannabis dependence, uncomplicated","Cannabis dependence, uncomplicated","Cannabis dependence"
F122,1,F1221,"Cannabis dependence, in remission","Cannabis dependence, in remission","Cannabis dependence"
F1222,0,F12220,"Cannabis dependence with intoxication, uncomplicated","Cannabis dependence with intoxication, uncomplicated","Cannabis dependence with intoxication"
F1222,1,F12221,"Cannabis dependence with intoxication delirium","Cannabis dependence with intoxication delirium","Cannabis dependence with intoxication"
F1222,2,F12222,"Cannabis dependence w intoxication w perceptual disturbance","Cannabis dependence with intoxication with perceptual disturbance","Cannabis dependence with intoxication"
F1222,9,F12229,"Cannabis dependence with intoxication, unspecified","Cannabis dependence with intoxication, unspecified","Cannabis dependence with intoxication"
F1225,0,F12250,"Cannabis dependence with psychotic disorder with delusions","Cannabis dependence with psychotic disorder with delusions","Cannabis dependence with psychotic disorder"
F1225,1,F12251,"Cannabis dependence w psychotic disorder with hallucinations","Cannabis dependence with psychotic disorder with hallucinations","Cannabis dependence with psychotic disorder"
F1225,9,F12259,"Cannabis dependence with psychotic disorder, unspecified","Cannabis dependence with psychotic disorder, unspecified","Cannabis dependence with psychotic disorder"
F1228,0,F12280,"Cannabis dependence with cannabis-induced anxiety disorder","Cannabis dependence with cannabis-induced anxiety disorder","Cannabis dependence with other cannabis-induced disorder"
F1228,8,F12288,"Cannabis dependence with other cannabis-induced disorder","Cannabis dependence with other cannabis-induced disorder","Cannabis dependence with other cannabis-induced disorder"
F1229,,F1229,"Cannabis dependence with unsp cannabis-induced disorder","Cannabis dependence with unspecified cannabis-induced disorder","Cannabis dependence with unspecified cannabis-induced disorder"
F129,0,F1290,"Cannabis use, unspecified, uncomplicated","Cannabis use, unspecified, uncomplicated","Cannabis use, unspecified"
F1292,0,F12920,"Cannabis use, unspecified with intoxication, uncomplicated","Cannabis use, unspecified with intoxication, uncomplicated","Cannabis use, unspecified with intoxication"
F1292,1,F12921,"Cannabis use, unspecified with intoxication delirium","Cannabis use, unspecified with intoxication delirium","Cannabis use, unspecified with intoxication"
F1292,2,F12922,"Cannabis use, unsp w intoxication w perceptual disturbance","Cannabis use, unspecified with intoxication with perceptual disturbance","Cannabis use, unspecified with intoxication"
F1292,9,F12929,"Cannabis use, unspecified with intoxication, unspecified","Cannabis use, unspecified with intoxication, unspecified","Cannabis use, unspecified with intoxication"
F1295,0,F12950,"Cannabis use, unsp with psychotic disorder with delusions","Cannabis use, unspecified with psychotic disorder with delusions","Cannabis use, unspecified with psychotic disorder"
F1295,1,F12951,"Cannabis use, unsp w psychotic disorder with hallucinations","Cannabis use, unspecified with psychotic disorder with hallucinations","Cannabis use, unspecified with psychotic disorder"
F1295,9,F12959,"Cannabis use, unsp with psychotic disorder, unspecified","Cannabis use, unspecified with psychotic disorder, unspecified","Cannabis use, unspecified with psychotic disorder"
F1298,0,F12980,"Cannabis use, unspecified with anxiety disorder","Cannabis use, unspecified with anxiety disorder","Cannabis use, unspecified with other cannabis-induced disorder"
F1298,8,F12988,"Cannabis use, unsp with other cannabis-induced disorder","Cannabis use, unspecified with other cannabis-induced disorder","Cannabis use, unspecified with other cannabis-induced disorder"
F1299,,F1299,"Cannabis use, unsp with unsp cannabis-induced disorder","Cannabis use, unspecified with unspecified cannabis-induced disorder","Cannabis use, unspecified with unspecified cannabis-induced disorder"
F131,0,F1310,"Sedative, hypnotic or anxiolytic abuse, uncomplicated","Sedative, hypnotic or anxiolytic abuse, uncomplicated","Sedative, hypnotic or anxiolytic-related abuse"
F131,1,F1311,"Sedative, hypnotic or anxiolytic abuse, in remission","Sedative, hypnotic or anxiolytic abuse, in remission","Sedative, hypnotic or anxiolytic-related abuse"
F1312,0,F13120,"Sedatv/hyp/anxiolytc abuse w intoxication, uncomplicated","Sedative, hypnotic or anxiolytic abuse with intoxication, uncomplicated","Sedative, hypnotic or anxiolytic abuse with intoxication"
F1312,1,F13121,"Sedatv/hyp/anxiolytc abuse w intoxication delirium","Sedative, hypnotic or anxiolytic abuse with intoxication delirium","Sedative, hypnotic or anxiolytic abuse with intoxication"
F1312,9,F13129,"Sedative, hypnotic or anxiolytic abuse w intoxication, unsp","Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified","Sedative, hypnotic or anxiolytic abuse with intoxication"
F1314,,F1314,"Sedative, hypnotic or anxiolytic abuse w mood disorder","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder"
F1315,0,F13150,"Sedatv/hyp/anxiolytc abuse w psychotic disorder w delusions","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder"
F1315,1,F13151,"Sedatv/hyp/anxiolytc abuse w psychotic disorder w hallucin","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder"
F1315,9,F13159,"Sedatv/hyp/anxiolytc abuse w psychotic disorder, unsp","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder"
F1318,0,F13180,"Sedative, hypnotic or anxiolytic abuse w anxiety disorder","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder","Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorders"
F1318,1,F13181,"Sedative, hypnotic or anxiolytic abuse w sexual dysfunction","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction","Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorders"
F1318,2,F13182,"Sedative, hypnotic or anxiolytic abuse w sleep disorder","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder","Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorders"
F1318,8,F13188,"Sedative, hypnotic or anxiolytic abuse w oth disorder","Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder","Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorders"
F1319,,F1319,"Sedative, hypnotic or anxiolytic abuse w unsp disorder","Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder","Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder"
F132,0,F1320,"Sedative, hypnotic or anxiolytic dependence, uncomplicated","Sedative, hypnotic or anxiolytic dependence, uncomplicated","Sedative, hypnotic or anxiolytic-related dependence"
F132,1,F1321,"Sedative, hypnotic or anxiolytic dependence, in remission","Sedative, hypnotic or anxiolytic dependence, in remission","Sedative, hypnotic or anxiolytic-related dependence"
F1322,0,F13220,"Sedatv/hyp/anxiolytc dependence w intoxication, uncomp","Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated","Sedative, hypnotic or anxiolytic dependence with intoxication"
F1322,1,F13221,"Sedatv/hyp/anxiolytc dependence w intoxication delirium","Sedative, hypnotic or anxiolytic dependence with intoxication delirium","Sedative, hypnotic or anxiolytic dependence with intoxication"
F1322,9,F13229,"Sedatv/hyp/anxiolytc dependence w intoxication, unsp","Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified","Sedative, hypnotic or anxiolytic dependence with intoxication"
F1323,0,F13230,"Sedatv/hyp/anxiolytc dependence w withdrawal, uncomplicated","Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated","Sedative, hypnotic or anxiolytic dependence with withdrawal"
F1323,1,F13231,"Sedatv/hyp/anxiolytc dependence w withdrawal delirium","Sedative, hypnotic or anxiolytic dependence with withdrawal delirium","Sedative, hypnotic or anxiolytic dependence with withdrawal"
F1323,2,F13232,"Sedatv/hyp/anxiolytc depend w w/drawal w perceptual disturb","Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance","Sedative, hypnotic or anxiolytic dependence with withdrawal"
F1323,9,F13239,"Sedatv/hyp/anxiolytc dependence w withdrawal, unsp","Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified","Sedative, hypnotic or anxiolytic dependence with withdrawal"
F1324,,F1324,"Sedative, hypnotic or anxiolytic dependence w mood disorder","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder"
F1325,0,F13250,"Sedatv/hyp/anxiolytc depend w psychotic disorder w delusions","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder"
F1325,1,F13251,"Sedatv/hyp/anxiolytc depend w psychotic disorder w hallucin","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder"
